Item
Milk
Bread
Eggs
Cheese
Yogurt
Butter
Cereal
Pasta
Rice
Flour
Sugar
Salt
Pepper
Olive oil
Vinegar
Ketchup
Mustard
Mayonnaise
Soy sauce
Hot sauce
Salsa
Peanut butter
Jelly or jam
Honey
Maple syrup
Canned tomatoes or tomato sauce
Canned beans
Canned vegetables
Canned fruit
Frozen vegetables
Frozen fruit
Frozen pizza
Frozen dinners
Ground beef
Chicken breasts
Pork chops
Bacon
Sausage
Ham
Fish fillets
Shrimp
Crab meat
Lobster tails
Fresh Apples
Fresh Bananas
Fresh Oranges
Fresh Grapes
Fresh Carrots
Fresh Broccoli
Fresh Letture
